					5G v 5G								4G v 4G								5G v 4G								4G v 5G								
J	P	Name	Team	GP	TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		
18	R	BRYAN LITTLE	wpg	82	1127	-0.8	-0.8	1.1	2.7	-1.6	1.5		61	-0.2	-0.2	0.0	0.1	0.2	0.2		202	16.7	-2.8	-0.6	-0.7	3.6	-0.5		180	-14.4	2.9	0.9	0.8	-2.4	2.2		
19	C	JIM SLATER	wpg	27	239	-0.3	-0.3	0.2	-0.2	0.3	-0.1		0	0.1	0.1	0.0	-0.0	-0.0	0.1		2	0.0	-0.3	0.2	0.0	0.1	0.0		47	-3.9	0.6	-0.0	0.0	-0.4	0.3		
22	R	CHRIS THORBURN	wpg	55	482	-0.1	-0.1	0.3	-0.5	-0.3	-0.6		0	0.0	0.0	0.0	0.0	-0.0	-0.0		2	0.5	0.3	0.1	-0.0	0.0	0.4		4	-0.6	-0.2	-0.0	-0.0	-0.1	-0.3		
24	D	GRANT CLITSOME	wpg	32	522	-4.4	-4.4	0.1	0.7	-0.3	-4.0		28	-0.3	-0.3	-0.1	-0.1	0.2	-0.2		41	3.3	-0.7	0.4	-0.2	0.9	0.4		43	-3.9	0.2	0.1	0.4	-0.4	0.4		
25	D	ZACH REDMOND	wpg	10	143	-0.3	-0.3	-0.4	-0.4	0.1	-0.9		3	-0.1	-0.1	-0.0	0.1	0.0	-0.0		5	0.1	-0.4	0.0	-0.1	0.1	-0.3		0	0.0	0.0	-0.0	0.0	-0.0	-0.0		
26	R	BLAKE WHEELER	wpg	82	1156	3.4	3.4	0.4	1.8	-1.2	4.3		58	-0.2	-0.2	-0.3	0.2	0.4	0.1		211	16.2	-4.1	-0.1	-0.9	4.0	-1.1		65	-5.1	1.1	-0.9	0.3	-0.7	-0.1		
27	C	ERIC TANGRADI	wpg	55	462	1.5	1.5	-0.4	-0.7	0.4	0.7		0	-0.0	-0.0	-0.0	-0.0	0.0	-0.1		7	-0.3	-1.0	0.1	0.0	0.2	-0.7		0	-0.1	-0.1	0.0	-0.0	-0.0	-0.1		
28	C	PATRICE CORMIER	wpg	9	59	-0.8	-0.8	-0.0	-0.4	0.3	-1.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.1	-0.0	0.0	0.0	0.0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
33	D	DUSTIN BYFUGLIEN	wpg	78	1286	0.5	0.5	0.9	1.6	-1.1	1.9		74	-0.1	-0.1	-0.1	0.1	0.4	0.3		248	21.4	-2.5	-1.3	-0.4	4.7	0.5		124	-11.1	0.9	0.7	0.2	-1.3	0.6		
39	D	TOBIAS ENSTROM	wpg	82	1371	-0.2	-0.2	0.7	1.9	-1.0	1.4		87	-0.6	-0.6	-0.1	0.1	0.5	-0.2		249	19.4	-4.6	-0.9	-0.8	4.6	-1.7		152	-9.8	4.9	-0.5	1.0	-1.6	3.7		
40	R	DEVIN SETOGUCHI	wpg	75	985	3.6	3.5	0.6	-0.1	-0.7	3.3		12	-0.2	-0.2	0.1	-0.1	0.1	-0.1		128	9.5	-2.8	0.3	-0.7	2.5	-0.6		0	-0.2	-0.2	-0.0	0.0	-0.0	-0.2		
44	D	ZACH BOGOSIAN	wpg	55	973	-2.7	-2.7	0.7	0.7	-0.9	-2.3		62	-0.3	-0.3	0.1	-0.1	0.3	-0.1		89	5.0	-3.6	0.7	-0.2	1.9	-1.3		115	-9.0	2.0	-0.3	0.3	-1.5	0.6		
48	L	CARL KLINGBERG	wpg	3	23	-0.6	-0.6	0.1	-0.1	0.1	-0.5		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
55	C	MARK SCHEIFELE	wpg	63	860	-0.1	-0.1	0.4	0.3	-0.0	0.6		28	0.5	0.5	0.1	0.0	0.2	0.7		126	10.1	-2.1	-0.0	-0.5	2.8	0.3		2	-0.1	0.2	-0.1	0.0	-0.0	0.0		
58	C	ERIC O'DELL	wpg	30	272	-0.3	-0.3	-0.7	-0.7	0.2	-1.5		3	0.0	0.0	-0.0	-0.0	0.0	0.0		11	0.1	-1.0	0.1	-0.1	0.4	-0.7		0	0.0	0.0	0.0	0.0	0.0	0.0		
63	D	BEN CHIAROT	wpg	1	12	-0.2	-0.2	-0.1	0.1	0.0	-0.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
67	R	MICHAEL FROLIK	wpg	81	1124	-1.2	-1.2	0.5	1.3	-0.4	0.2		22	-0.6	-0.6	-0.0	-0.2	0.2	-0.6		75	3.1	-4.2	0.1	0.1	1.6	-2.4		95	-8.2	1.0	-0.0	0.4	-0.9	0.4		
70	C	JOHN ALBERT	wpg	9	47	-1.1	-1.1	0.0	-0.1	0.1	-1.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
71	D	JULIAN MELCHIORI	wpg	1	7	-0.2	-0.2	0.0	-0.0	-0.0	-0.2		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
6	D	COREY POTTER	bos	3	41	-0.7	-0.7	-0.0	0.2	0.0	-0.5		1	-0.1	-0.1	-0.0	-0.0	0.0	-0.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.1	0.2	0.0	-0.0	-0.0	0.2		
11	C	GREGORY CAMPBELL	bos	82	807	-4.2	-4.2	0.9	-2.4	0.0	-5.6		9	-0.0	-0.0	0.1	-0.1	-0.0	-0.0		12	1.1	-0.1	0.2	-0.1	-0.1	-0.0		146	-13.5	0.5	-0.1	0.1	-1.1	-0.6		
12	R	JAROME IGINLA	bos	78	1159	8.0	8.0	-0.8	0.0	-3.8	3.5		26	-0.1	-0.1	-0.1	0.1	-0.1	-0.2		190	20.7	2.3	-0.8	-0.2	-1.2	0.1		30	-2.7	0.2	-0.3	0.1	-0.2	-0.2		
17	L	MILAN LUCIC	bos	80	1164	6.6	6.6	-1.3	-0.0	-4.1	1.3		27	-0.3	-0.3	-0.0	0.0	-0.1	-0.3		190	20.9	2.5	-0.9	-0.2	-1.3	0.1		1	0.0	0.1	-0.1	0.0	-0.0	0.0		
18	R	REILLY SMITH	bos	82	1033	13.6	13.6	-0.0	-0.8	-5.2	7.5		22	1.3	1.3	0.0	-0.1	-0.2	0.9		126	17.4	5.3	0.0	-0.5	-2.7	2.1		0	0.0	0.1	-0.0	0.0	-0.0	0.0		
20	L	DANIEL PAILLE	bos	72	673	0.1	0.1	0.3	-1.4	0.3	-0.7		4	-0.4	-0.4	0.1	0.1	-0.1	-0.3		3	0.2	-0.2	-0.0	0.0	0.0	-0.2		96	-7.3	2.0	-0.7	0.0	-0.6	0.7		
21	L	LOUI ERIKSSON	bos	61	742	4.1	4.1	-1.3	-0.9	-2.3	-0.4		23	-1.1	-1.1	0.0	0.1	-0.0	-1.0		111	17.1	6.3	0.2	-0.6	-2.3	3.6		85	-7.5	0.7	-0.8	-0.2	-0.7	-1.0		
22	L	SHAWN THORNTON	bos	64	567	-0.6	-0.6	-1.1	-1.7	0.3	-3.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		2	0.2	-0.0	-0.0	-0.0	0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
23	C	CHRIS KELLY	bos	57	682	-2.7	-2.7	1.5	-1.8	-1.2	-4.1		18	-0.4	-0.4	-0.0	0.0	0.0	-0.4		8	0.1	-0.7	0.1	-0.2	-0.1	-0.9		107	-9.5	0.9	0.1	0.1	-0.6	0.5		
25	R	MATT FRASER	bos	14	127	0.1	0.1	-0.1	-0.5	-0.0	-0.5		0	0.0	0.0	0.0	0.0	-0.0	-0.0		2	0.0	-0.2	0.0	0.0	-0.0	-0.2		0	0.0	0.0	0.0	0.0	0.0	0.0		
27	D	DOUGIE HAMILTON	bos	64	1018	3.4	3.4	0.2	-0.1	-3.8	-0.3		33	1.4	1.4	0.1	-0.2	-0.1	1.1		118	14.7	3.3	0.0	-0.4	-2.8	0.2		40	-3.2	0.8	-0.4	-0.1	-0.3	-0.0		
32	R	NICK JOHNSON	bos	9	88	-0.5	-0.5	0.1	-0.5	0.1	-0.7		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.0	0.0	-0.0	0.0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
33	D	ZDENO CHARA	bos	77	1385	9.2	9.2	1.4	0.6	-5.5	5.7		39	0.6	0.6	0.1	-0.1	-0.3	0.2		183	20.1	2.4	-0.4	-0.3	-1.4	0.3		231	-22.4	-0.2	0.8	0.9	-1.7	-0.1		
34	C	CARL SODERBERG	bos	73	862	-0.7	-0.7	0.2	-2.0	-1.2	-3.6		23	-0.6	-0.6	0.1	0.1	0.0	-0.4		121	17.2	5.6	-0.1	-0.4	-2.8	2.3		0	0.0	0.1	-0.1	-0.0	0.0	-0.0		
37	C	PATRICE BERGERON	bos	80	1059	17.4	17.4	1.1	-0.4	-5.4	12.7		29	0.8	0.8	0.1	0.0	-0.3	0.6		148	18.9	4.6	0.1	-0.6	-3.2	0.9		151	-11.9	2.7	1.2	0.3	-1.2	3.0		
38	R	JORDAN CARON	bos	35	353	-2.5	-2.5	0.3	-1.1	-0.1	-3.4		0	0.0	-0.0	0.0	-0.0	0.0	-0.0		1	0.0	-0.2	0.0	-0.0	-0.0	-0.2		23	-3.1	-0.8	-0.2	0.0	-0.2	-1.1		
